age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
25,Private,774000792,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-345425469,-561120887,39,Nicaragua
28,Private,86126568,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-798529537,-905822508,39,Nicaragua
28,Private,735804676,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-238856795,-282521622,41,Nicaragua
27,Private,128286215,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-160247906,-499647317,38,Nicaragua
25,Private,781610693,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-356131917,-597585019,41,Nicaragua
27,Private,443524370,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-549538374,-772760930,36,Nicaragua
27,Private,887912035,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-936182451,-141707389,41,Nicaragua
26,Private,631737308,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-834770160,-241911097,40,Nicaragua
26,Private,68104499,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-29297508,-554311830,42,Nicaragua
27,Private,778427364,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-240097062,-805360994,38,Nicaragua
26,Private,497890950,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-956196033,-453429658,37,Nicaragua
27,Private,683111691,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-77467915,-255236702,38,Nicaragua
28,Private,410966971,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-674173143,-94462845,38,Nicaragua
25,Private,469660808,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-204316363,-810528351,39,Nicaragua
25,Private,686540270,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-524292885,-669803160,37,Nicaragua
27,Private,669879352,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-59689576,-562847411,37,Nicaragua
28,Private,629837587,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-299731675,-902773217,38,Nicaragua
28,Private,832293004,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-564781330,-195234408,41,Nicaragua
26,Private,898107799,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-711670570,-317503449,40,Nicaragua
25,Private,832769855,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-800090878,-195099652,36,Nicaragua
28,Private,786966554,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-219632090,-335148124,39,Nicaragua
27,Private,277264713,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-219267376,-444352187,39,Nicaragua
27,Private,568826560,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-962737517,-860202788,37,Nicaragua
25,Private,439724499,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-331593962,-345570136,39,Nicaragua
28,Private,565322164,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-920802232,-234999969,40,Nicaragua
27,Private,565459356,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-446418052,-909433436,39,Nicaragua
28,Private,304087875,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-397158982,-969182119,38,Nicaragua
26,Private,982741811,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-785414340,-723451245,38,Nicaragua
28,Private,853432091,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-965306876,-766060156,41,Nicaragua
